"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","I/O","",""
"3","PE4","I/O","",""
"4","PE5","I/O","",""
"5","PE6","I/O","",""
"6","VBAT","Power","",""
"7","PC13","I/O","GPIO_Analog","VCC_MON"
"8","PC14-OSC32_IN (OSC32_IN)","I/O","RCC_OSC32_IN",""
"9","PC15-OSC32_OUT (OSC32_OUT)","I/O","RCC_OSC32_OUT",""
"10","VSS","Power","",""
"11","VDD","Power","",""
"12","PH0-OSC_IN (PH0)","I/O","RCC_OSC_IN",""
"13","PH1-OSC_OUT (PH1)","I/O","RCC_OSC_OUT",""
"14","NRST","Reset","",""
"15","PC0","I/O","",""
"16","PC1","I/O","",""
"17","PC2_C","I/O","",""
"18","PC3_C","I/O","",""
"19","VSSA","Power","",""
"20","VREF+","MonoIO","",""
"21","VDDA","Power","",""
"22","PA0","I/O","",""
"23","PA1","I/O","",""
"24","PA2","I/O","",""
"25","PA3","I/O","",""
"26","VSS","Power","",""
"27","VDD","Power","",""
"28","PA4","I/O","SPI1_NSS",""
"29","PA5","I/O","SPI1_SCK",""
"30","PA6","I/O","SPI1_MISO",""
"31","PA7","I/O","SPI1_MOSI",""
"32","PC4","I/O","",""
"33","PC5","I/O","",""
"34","PB0","I/O","",""
"35","PB1","I/O","",""
"36","PB2","Output","GPIO_Output","LED1"
"37","PE7","I/O","",""
"38","PE8","I/O","",""
"39","PE9","I/O","",""
"40","PE10","I/O","",""
"41","PE11","I/O","",""
"42","PE12","I/O","",""
"43","PE13","I/O","",""
"44","PE14","I/O","",""
"45","PE15","Output","GPIO_Output","PWR_KILL"
"46","PB10","I/O","",""
"47","PB11","I/O","",""
"48","VCAP","Power","",""
"49","VSS","Power","",""
"50","VDD","Power","",""
"51","PB12","I/O","SPI2_NSS",""
"52","PB13","I/O","SPI2_SCK",""
"53","PB14","I/O","SPI2_MISO",""
"54","PB15","I/O","SPI2_MOSI",""
"55","PD8","I/O","",""
"56","PD9","I/O","",""
"57","PD10","Output","GPIO_Output","LED2"
"58","PD11","I/O","",""
"59","PD12","I/O","",""
"60","PD13","I/O","",""
"61","PD14","Input","GPIO_Input","SW1"
"62","PD15","Input","GPIO_Input","SW2"
"63","PC6","I/O","",""
"64","PC7","I/O","",""
"65","PC8","I/O","SDMMC1_D0",""
"66","PC9","I/O","SDMMC1_D1",""
"67","PA8","I/O","",""
"68","PA9","I/O","DAC1_EXTI9 GPIO_EXTI9","NRF8K_RDYN"
"69","PA10","I/O","USB_OTG_FS_ID",""
"70","PA11","I/O","USB_OTG_FS_DM",""
"71","PA12","I/O","USB_OTG_FS_DP",""
"72","PA13 (JTMS/SWDIO)","I/O","",""
"73","VCAP","Power","",""
"74","VSS","Power","",""
"75","VDD","Power","",""
"76","PA14 (JTCK/SWCLK)","I/O","",""
"77","PA15 (JTDI)","I/O","SPI3_NSS",""
"78","PC10","I/O","SDMMC1_D2",""
"79","PC11","I/O","SDMMC1_D3",""
"80","PC12","I/O","SDMMC1_CK",""
"81","PD0","I/O","",""
"82","PD1","I/O","",""
"83","PD2","I/O","SDMMC1_CMD",""
"84","PD3","I/O","",""
"85","PD4","I/O","",""
"86","PD5","I/O","",""
"87","PD6","I/O","SPI3_MOSI",""
"88","PD7","I/O","",""
"89","PB3 (JTDO/TRACESWO)","I/O","SPI3_SCK",""
"90","PB4 (NJTRST)","I/O","SPI3_MISO",""
"91","PB5","I/O","",""
"92","PB6","I/O","USART1_TX",""
"93","PB7","I/O","USART1_RX",""
"94","BOOT0","Boot","",""
"95","PB8","I/O","GPIO_EXTI8","SD_DET"
"96","PB9","I/O","",""
"97","PE0","I/O","",""
"98","PE1","I/O","",""
"99","VSS","Power","",""
"100","VDD","Power","",""
